eps1         u            sigma3       sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]        [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.0000      199.5100      299.8650     100.3550      300.4240      100.9140      100.5413      0.5590
0.0000      199.6570      299.8560     100.1990      300.7980      101.1410      100.5130      0.9420
0.0000      199.9150      299.8384      99.9234      301.4260      101.5110      100.4526      1.5876
0.0000      200.2640      299.8382      99.5742      302.2930      102.0290      100.3925      2.4548
0.0000      200.5720      299.8008      99.2288      303.0910      102.5190      100.3255      3.2902
0.0000      200.9250      299.8744      98.9494      303.8110      102.8860      100.2616      3.9366
0.0000      201.2120      299.9207      98.7087      304.5110      103.2990      100.2388      4.5903
0.0000      201.5100      299.8475      98.3375      305.1950      103.6850      100.1200      5.3475
0.0000      201.8220      299.8287      98.0067      305.8470      104.0250      100.0128      6.0183
0.0010      202.1270      299.8470      97.7200      306.4410      104.3140      99.9180      6.5940
0.0010      202.4140      299.9024      97.4884      307.0110      104.5970      99.8579      7.1086
0.0020      202.7040      299.9021      97.1981      307.5390      104.8350      99.7437      7.6369
0.0030      202.9610      299.8651      96.9041      308.1080      105.1470      99.6517      8.2429
0.0030      203.2960      299.8473      96.5513      308.6490      105.3530      99.4852      8.8017
0.0040      203.5310      299.9296      96.3986      309.1070      105.5760      99.4577      9.1774
0.0050      203.8250      299.9113      96.0863      309.5880      105.7630      99.3119      9.6767
0.0050      204.0970      299.8561      95.7591      310.0340      105.9370      99.1517      10.1779
0.0060      204.3910      299.7642      95.3732      310.5250      106.1340      98.9601      10.7608
0.0060      204.6560      299.9299      95.2739      310.9690      106.3130      98.9536      11.0391
0.0070      204.9310      299.9201      94.9891      311.4330      106.5020      98.8267      11.5129
0.0080      205.2290      299.8744      94.6454      311.8910      106.6620      98.6509      12.0166
0.0080      205.5310      299.8383      94.3073      312.3230      106.7920      98.4689      12.4847
0.0090      205.8060      299.8744      94.0684      312.6890      106.8830      98.3399      12.8146
0.0100      206.0520      299.9018      93.8498      313.1200      107.0680      98.2559      13.2182
0.0100      206.3610      299.8469      93.4859      313.4830      107.1220      98.0313      13.6361
0.0110      206.6700      299.9482      93.2782      313.8490      107.1790      97.9118      13.9008
0.0120      206.9240      299.9210      92.9970      314.2680      107.3440      97.7793      14.3470
0.0130      207.1880      299.8928      92.7048      314.6740      107.4860      97.6319      14.7812
0.0130      207.4640      299.8289      92.3649      315.0830      107.6190      97.4496      15.2541
0.0140      207.7800      299.9023      92.1223      315.4620      107.6820      97.3089      15.5597
0.0140      208.0300      299.8657      91.8357      315.8500      107.8200      97.1638      15.9843
0.0150      208.3160      299.8741      91.5581      316.2080      107.8920      97.0027      16.3339
0.0160      208.5810      299.8561      91.2751      316.5550      107.9740      96.8414      16.6989
0.0160      208.9010      299.9207      91.0197      316.9660      108.0650      96.7015      17.0453
0.0170      209.1620      299.8473      90.6853      317.2780      108.1160      96.4955      17.4307
0.0180      209.4670      299.8747      90.4077      317.6470      108.1800      96.3318      17.7723
0.0180      209.7280      299.8473      90.1193      318.0360      108.3080      96.1822      18.1887
0.0190      210.0030      299.8833      89.8803      318.3470      108.3440      96.0349      18.4637
0.0199      210.2350      299.8655      89.6305      318.6830      108.4480      95.9030      18.8175
0.0209      210.5440      299.8565      89.3125      319.0640      108.5200      95.7150      19.2075
0.0209      210.8380      299.8473      89.0093      319.3790      108.5410      95.5199      19.5317
0.0219      211.1390      299.8561      88.7171      319.7450      108.6060      95.3467      19.8889
0.0229      211.4110      299.9112      88.5002      320.0450      108.6340      95.2115      20.1338
0.0229      211.6720      299.8745      88.2025      320.3530      108.6810      95.0287      20.4785
0.0239      211.9440      299.8929      87.9489      320.6800      108.7360      94.8779      20.7871
0.0239      212.2090      299.8749      87.6659      320.9760      108.7670      94.6996      21.1011
0.0249      212.4260      299.9027      87.4767      321.2750      108.8490      94.6008      21.3723
0.0259      212.7200      299.8475      87.1275      321.5750      108.8550      94.3700      21.7275
0.0269      212.9580      299.8834      86.9254      321.8940      108.9360      94.2623      22.0106
0.0269      213.2160      299.9116      86.6956      322.1940      108.9780      94.1231      22.2824
0.0279      213.4990      299.8106      86.3116      322.5090      109.0100      93.8777      22.6984
0.0289      213.7630      299.9293      86.1663      322.7350      108.9720      93.7682      22.8057
0.0289      213.9470      299.8928      85.9458      323.0140      109.0670      93.6529      23.1212
0.0299      214.2010      299.9392      85.7382      323.2870      109.0860      93.5208      23.3478
0.0299      214.4910      299.8653      85.3743      323.5260      109.0350      93.2612      23.6607
0.0309      214.6970      299.8747      85.1777      323.8010      109.1040      93.1531      23.9263
0.0309      214.9250      299.8473      84.9223      324.0510      109.1260      92.9902      24.2037
0.0319      215.1640      299.8290      84.6650      324.2920      109.1280      92.8193      24.4630
0.0329      215.4250      299.9209      84.4959      324.5260      109.1010      92.6976      24.6051
0.0329      215.6490      299.8840      84.2350      324.7820      109.1330      92.5343      24.8980
0.0339      215.8620      299.8838      84.0218      325.0550      109.1930      92.4122      25.1712
0.0339      216.0940      299.8016      83.7076      325.3040      109.2100      92.2084      25.5024
0.0349      216.3140      299.9112      83.5972      325.5620      109.2480      92.1475      25.6508
0.0359      216.5530      299.9205      83.3675      325.8000      109.2470      91.9940      25.8795
0.0359      216.7740      299.9118      83.1378      325.9880      109.2140      91.8299      26.0762
0.0369      217.0010      299.8467      82.8457      326.2280      109.2270      91.6395      26.3813
0.0369      217.2330      299.8747      82.6417      326.4980      109.2650      91.5161      26.6233
0.0379      217.4020      299.8838      82.4818      326.6930      109.2910      91.4182      26.8092
0.0389      217.6370      299.8285      82.1915      326.9420      109.3050      91.2293      27.1135
0.0389      217.8870      299.8469      81.9599      327.1520      109.2650      91.0616      27.3051
0.0399      218.1040      299.9022      81.7982      327.4020      109.2980      90.9648      27.4998
0.0409      218.2950      299.8286      81.5336      327.5930      109.2980      90.7884      27.7644
0.0409      218.5230      299.8562      81.3332      327.8380      109.3150      90.6605      27.9818
0.0419      218.7140      299.9020      81.1880      328.0350      109.3210      90.5657      28.1330
0.0419      218.9130      299.8750      80.9620      328.2420      109.3290      90.4177      28.3670
0.0429      219.1660      299.8102      80.6442      328.4710      109.3050      90.1978      28.6608
0.0439      219.3130      299.8744      80.5614      328.6020      109.2890      90.1373      28.7276
0.0439      219.5480      299.8650      80.3170      328.8550      109.3070      89.9803      28.9900
0.0449      219.7730      299.8291      80.0561      329.0570      109.2840      89.7987      29.2279
0.0449      219.9750      299.9024      79.9274      329.2800      109.3050      89.7199      29.3776
0.0459      220.1880      299.8563      79.6683      329.4180      109.2300      89.5222      29.5617
0.0469      220.4050      299.9024      79.4974      329.6440      109.2390      89.4113      29.7416
0.0469      220.5850      299.8380      79.2530      329.8520      109.2670      89.2577      30.0140
0.0479      220.7870      299.8746      79.0876      330.0580      109.2710      89.1487      30.1834
0.0479      221.0110      299.8469      78.8359      330.2600      109.2490      88.9736      30.4131
0.0489      221.2020      299.9110      78.7090      330.3980      109.1960      88.8713      30.4870
0.0489      221.3680      299.8841      78.5161      330.6200      109.2520      88.7614      30.7359
0.0499      221.5550      299.8193      78.2643      330.7830      109.2280      88.5855      30.9637
0.0499      221.7680      299.8651      78.0971      331.0240      109.2560      88.4834      31.1589
0.0509      221.9670      299.8748      77.9078      331.2110      109.2440      88.3532      31.3362
0.0519      222.2090      299.8834      77.6744      331.4010      109.1920      88.1803      31.5176
0.0519      222.4010      299.8292      77.4282      331.5860      109.1850      88.0138      31.7568
0.0529      222.6030      299.9025      77.2995      331.8060      109.2030      87.9340      31.9035
0.0539      222.7900      299.8928      77.1028      331.9930      109.2030      87.8029      32.1002
0.0539      223.0220      299.9025      76.8805      332.1950      109.1730      87.6447      32.2925
0.0549      223.2310      299.8560      76.6250      332.3680      109.1370      87.4623      32.5120
0.0549      223.4080      299.8750      76.4670      332.5220      109.1140      87.3493      32.6470
0.0559      223.5990      299.8749      76.2759      332.7540      109.1550      87.2356      32.8791
0.0569      223.8190      299.9111      76.0921      332.9230      109.1040      87.0961      33.0119
0.0569      223.9990      299.8835      75.8845      333.1080      109.1090      86.9593      33.2245
0.0578      224.1900      299.9201      75.7301      333.2780      109.0880      86.8494      33.3579
0.0578      224.4150      299.9209      75.5059      333.4350      109.0200      86.6773      33.5141
0.0588      224.6060      299.9208      75.3148      333.6240      109.0180      86.5492      33.7032
0.0598      224.8040      299.8652      75.0612      333.8210      109.0170      86.3798      33.9558
0.0598      225.0170      299.7916      74.7746      334.0310      109.0140      86.1877      34.2394
0.0608      225.1980      299.8384      74.6404      334.1450      108.9470      86.0759      34.3066
0.0618      225.3590      299.8376      74.4786      334.2900      108.9310      85.9627      34.4524
0.0618      225.5800      299.8473      74.2673      334.5290      108.9490      85.8279      34.6817
0.0628      225.7710      299.8747      74.1037      334.7040      108.9330      85.7135      34.8293
0.0628      225.9620      299.8655      73.9035      334.8550      108.8930      85.5667      34.9895
0.0638      226.1710      299.9201      73.7491      334.9800      108.8090      85.4357      35.0599
0.0648      226.3630      299.8566      73.4936      335.1300      108.7670      85.2514      35.2734
0.0648      226.5240      299.8651      73.3411      335.3240      108.8000      85.1607      35.4589
0.0658      226.7040      299.8650      73.1610      335.4800      108.7760      85.0327      35.6150
0.0658      226.9100      299.8652      72.9552      335.6110      108.7010      84.8705      35.7458
0.0668      227.0830      299.8195      72.7365      335.7600      108.6770      84.7167      35.9405
0.0678      227.2590      299.8558      72.5968      335.8670      108.6080      84.6005      36.0112
0.0678      227.4430      299.8653      72.4223      336.0800      108.6370      84.4939      36.2147
0.0688      227.6270      299.8747      72.2477      336.2750      108.6480      84.3811      36.4003
0.0698      227.8180      299.9665      72.1485      336.3550      108.5370      84.2780      36.3885
0.0698      227.9980      299.8010      71.8030      336.5530      108.5550      84.0537      36.7520
0.0708      228.1890      299.9111      71.7221      336.6770      108.4880      83.9774      36.7659
0.0718      228.3140      299.9203      71.6063      336.8530      108.5390      83.9172      36.9327
0.0718      228.5310      299.8286      71.2976      336.9910      108.4600      83.6851      37.1624
0.0728      228.7220      299.9387      71.2167      337.0590      108.3370      83.5901      37.1203
0.0738      228.8660      299.8659      70.9999      337.2260      108.3600      83.4533      37.3601
0.0738      229.0600      299.8284      70.7684      337.3940      108.3340      83.2903      37.5656
0.0748      229.2070      299.9202      70.7132      337.5140      108.3070      83.2445      37.5938
0.0758      229.4020      299.9296      70.5276      337.6800      108.2780      83.1111      37.7504
0.0758      229.5600      299.8193      70.2593      337.8470      108.2870      82.9352      38.0277
0.0768      229.7220      299.8288      70.1068      337.9680      108.2460      82.8199      38.1392
0.0778      229.9200      299.9386      70.0186      338.0550      108.1350      82.7241      38.1164
0.0778      230.0710      299.8654      69.7944      338.2030      108.1320      82.5736      38.3376
0.0788      230.2330      299.9024      69.6694      338.3370      108.1040      82.4809      38.4346
0.0798      230.4420      299.9570      69.5150      338.4320      107.9900      82.3400      38.4750
0.0798      230.5750      299.8842      69.3092      338.6070      108.0320      82.2168      38.7228
0.0808      230.7510      299.8287      69.0777      338.7570      108.0060      82.0538      38.9283
0.0808      230.8980      299.9113      69.0133      338.8510      107.9530      81.9932      38.9397
0.0818      231.0450      299.8471      68.8021      338.9780      107.9330      81.8457      39.1309
0.0828      231.2290      299.8197      68.5907      339.1440      107.9150      81.6988      39.3243
0.0828      231.3720      299.8653      68.4933      339.2390      107.8670      81.6179      39.3737
0.0838      231.5710      299.8475      68.2765      339.3530      107.7820      81.4450      39.5055
0.0848      231.7470      299.9022      68.1552      339.4630      107.7160      81.3421      39.5608
0.0858      231.8650      299.8842      68.0192      339.6020      107.7370      81.2585      39.7178
0.0858      232.0340      299.8107      67.7767      339.7460      107.7120      81.0885      39.9353
0.0868      232.2100      299.9572      67.7472      339.7700      107.5600      81.0181      39.8128
0.0868      232.3420      299.9018      67.5598      339.9210      107.5790      80.8995      40.0192
0.0878      232.4860      299.8840      67.3980      340.0630      107.5770      80.7910      40.1790
0.0888      232.6620      299.8928      67.2308      340.1920      107.5300      80.6639      40.2992
0.0888      232.8130      299.9114      67.0984      340.2930      107.4800      80.5589      40.3816
0.0898      232.9530      299.8659      66.9129      340.4200      107.4670      80.4309      40.5541
0.0908      233.1440      299.8382      66.6942      340.5350      107.3910      80.2598      40.6968
0.0908      233.2800      299.9209      66.6409      340.6620      107.3820      80.2213      40.7411
0.0918      233.4520      299.8650      66.4130      340.7970      107.3450      80.0570      40.9320
0.0928      233.6030      299.8378      66.2348      340.9090      107.3060      79.9252      41.0712
0.0928      233.7280      299.9205      66.1925      340.9340      107.2060      79.8637      41.0135
0.0938      233.8750      299.9021      66.0271      341.0690      107.1940      79.7494      41.1669
0.0938      234.0480      299.8657      65.8177      341.1720      107.1240      79.5865      41.3063
0.0948      234.1870      299.9201      65.7331      341.3220      107.1350      79.5337      41.4019
0.0958      234.3160      299.8377      65.5217      341.4250      107.1090      79.3841      41.5873
0.0958      234.4930      299.8843      65.3913      341.4880      106.9950      79.2592      41.6037
0.0967      234.6290      299.8383      65.2093      341.5960      106.9670      79.1285      41.7577
0.0967      234.7760      299.8475      65.0715      341.7070      106.9310      79.0247      41.8595
0.0977      234.9150      299.8193      64.9043      341.8320      106.9170      78.9085      42.0127
0.0987      235.0510      299.8836      64.8326      341.9300      106.8790      78.8481      42.0464
0.0997      235.2020      299.8472      64.6452      341.9960      106.7940      78.6948      42.1488
0.0997      235.3420      299.8383      64.4963      342.1300      106.7880      78.5935      42.2917
0.1007      235.4520      299.8748      64.4228      342.2190      106.7670      78.5375      42.3442
0.1017      235.6060      299.8653      64.2593      342.3220      106.7160      78.4115      42.4567
0.1017      235.7570      299.8564      64.0994      342.4410      106.6840      78.2943      42.5846
0.1027      235.8890      299.8836      63.9946      342.4960      106.6070      78.1987      42.6124
0.1027      236.0510      299.9023      63.8513      342.5870      106.5360      78.0795      42.6847
0.1037      236.1940      299.8193      63.6253      342.7140      106.5200      77.9235      42.8947
0.1047      236.3230      299.9023      63.5793      342.7750      106.4520      77.8702      42.8727
0.1057      236.4480      299.8840      63.4360      342.8920      106.4440      77.7720      43.0080
0.1057      236.6210      299.8475      63.2265      342.9700      106.3490      77.6007      43.1225
0.1067      236.7570      299.9210      63.1640      342.9850      106.2280      77.5187      43.0640
0.1077      236.8630      299.8193      62.9563      343.1820      106.3190      77.4105      43.3627
0.1077      237.0060      299.8741      62.8681      343.2170      106.2110      77.3157      43.3429
0.1087      237.1420      299.8374      62.6954      343.3300      106.1880      77.1929      43.4926
0.1097      237.2710      299.8561      62.5851      343.4130      106.1420      77.1041      43.5569
0.1097      237.4220      299.8289      62.4069      343.5070      106.0850      76.9663      43.6781
0.1107      237.5320      299.8378      62.3058      343.6060      106.0740      76.8952      43.7682
0.1117      237.6750      299.8742      62.1992      343.6960      106.0210      76.8065      43.8218
0.1117      237.7710      299.7828      62.0118      343.7830      106.0120      76.6785      44.0002
0.1127      237.9440      299.8657      61.9217      343.8180      105.8740      76.5725      43.9523
