eps1          u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]          [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.0000       199.8060      399.9050      200.0990      399.4190      199.6130      199.9370      -0.4860
0.0000       199.7030      399.7760      200.0730      399.0770      199.3740      199.8400      -0.6990
0.0000       199.5120      399.8130      200.3010      398.6050      199.0930      199.8983      -1.2080
0.0000       199.3060      399.8680      200.5620      398.0480      198.7420      199.9553      -1.8200
0.0000       199.0930      399.8590      200.7660      397.4410      198.3480      199.9600      -2.4180
0.0000       198.8470      399.8680      201.0210      396.7620      197.9150      199.9857      -3.1060
-0.0010      198.5890      399.7760      201.1870      396.0980      197.5090      199.9610      -3.6780
-0.0010      198.2620      399.8310      201.5690      395.2710      197.0090      200.0490      -4.5600
-0.0020      197.9940      399.7760      201.7820      394.4700      196.4760      200.0133      -5.3060
-0.0030      197.6700      399.7850      202.1150      393.5900      195.9200      200.0500      -6.1950
-0.0040      197.4210      399.8310      202.4100      392.7510      195.3300      200.0500      -7.0800
-0.0040      197.0970      399.8030      202.7060      391.9570      194.8600      200.0907      -7.8460
-0.0050      196.8180      399.8860      203.0680      391.1000      194.2820      200.1393      -8.7860
-0.0060      196.5050      399.8580      203.3530      390.3050      193.8000      200.1687      -9.5530
-0.0060      196.2660      399.8030      203.5370      389.4510      193.1850      200.0863      -10.3520
-0.0070      196.0420      399.8670      203.8250      388.6780      192.6360      200.0953      -11.1890
-0.0080      195.8000      399.8590      204.0590      388.0040      192.2040      200.1073      -11.8550
-0.0080      195.5750      399.8400      204.2650      387.3120      191.7370      200.0890      -12.5280
-0.0090      195.3770      399.8950      204.5180      386.5790      191.2020      200.0793      -13.3160
-0.0100      195.1230      399.8400      204.7170      385.8640      190.7410      200.0583      -13.9760
-0.0110      194.9250      399.8770      204.9520      385.1210      190.1960      200.0333      -14.7560
-0.0110      194.7450      399.8400      205.0950      384.5400      189.7950      199.9950      -15.3000
-0.0120      194.5760      399.8220      205.2460      383.8870      189.3110      199.9343      -15.9350
-0.0130      194.4320      399.9040      205.4720      383.2090      188.7770      199.9070      -16.6950
-0.0140      194.2670      399.8680      205.6010      382.5530      188.2860      199.8293      -17.3150
-0.0140      194.1160      399.7570      205.6410      382.0260      187.9100      199.7307      -17.7310
-0.0150      194.0240      399.7850      205.7610      381.5030      187.4790      199.6670      -18.2820
-0.0160      193.8960      399.8310      205.9350      380.8890      186.9930      199.6210      -18.9420
-0.0160      193.7860      399.8590      206.0730      380.3480      186.5620      199.5693      -19.5110
-0.0170      193.7010      399.8400      206.1390      379.7880      186.0870      199.4550      -20.0520
-0.0180      193.6160      399.8760      206.2600      379.2620      185.6460      199.3887      -20.6140
-0.0190      193.5250      399.8410      206.3160      378.7190      185.1940      199.2753      -21.1220
-0.0190      193.4470      399.8030      206.3560      378.2280      184.7810      199.1643      -21.5750
-0.0201      193.4180      399.8680      206.4500      377.7070      184.2890      199.0630      -22.1610
-0.0211      193.3370      399.8490      206.5120      377.1740      183.8370      198.9537      -22.6750
-0.0211      193.2890      399.8400      206.5510      376.6940      183.4050      198.8357      -23.1460
-0.0221      193.3080      399.7940      206.4860      376.2710      182.9630      198.6450      -23.5230
-0.0231      193.2600      399.8030      206.5430      375.8010      182.5410      198.5423      -24.0020
-0.0231      193.2530      399.9050      206.6520      375.3610      182.1080      198.4707      -24.5440
-0.0241      193.2010      399.8580      206.6570      374.8900      181.6890      198.3343      -24.9680
-0.0251      193.1790      399.8580      206.6790      374.3980      181.2190      198.1923      -25.4600
-0.0251      193.2270      399.8590      206.6320      374.0060      180.7790      198.0143      -25.8530
-0.0261      193.1750      399.8210      206.6460      373.5750      180.4000      197.8973      -26.2460
-0.0271      193.2200      399.8040      206.5840      373.1630      179.9430      197.7037      -26.6410
-0.0271      193.1790      399.8400      206.6610      372.7350      179.5560      197.6260      -27.1050
-0.0281      193.2230      399.8860      206.6630      372.2970      179.0740      197.4667      -27.5890
-0.0291      193.2600      399.7760      206.5160      371.9880      178.7280      197.2533      -27.7880
-0.0291      193.2530      399.8680      206.6150      371.5690      178.3160      197.1820      -28.2990
-0.0301      193.3000      399.8120      206.5120      371.2140      177.9140      196.9793      -28.5980
-0.0311      193.3670      399.8500      206.4830      370.8430      177.4760      196.8140      -29.0070
-0.0311      193.3850      399.8680      206.4830      370.3980      177.0130      196.6597      -29.4700
-0.0321      193.4140      399.7850      206.3710      370.0960      176.6820      196.4747      -29.6890
-0.0321      193.4810      399.7950      206.3140      369.7100      176.2290      196.2857      -30.0850
-0.0331      193.5140      399.9230      206.4090      369.3140      175.8000      196.2060      -30.6090
-0.0341      193.5720      399.9040      206.3320      368.9830      175.4110      196.0250      -30.9210
-0.0341      193.6500      399.8040      206.1540      368.6460      174.9960      195.7680      -31.1580
-0.0351      193.6830      399.8130      206.1300      368.3390      174.6560      195.6387      -31.4740
-0.0361      193.7710      399.9510      206.1800      367.9810      174.2100      195.5233      -31.9700
-0.0361      193.8260      399.8310      206.0050      367.6970      173.8710      195.2937      -32.1340
-0.0371      193.9000      399.8680      205.9680      367.3300      173.4300      195.1220      -32.5380
-0.0381      193.9470      399.8310      205.8840      367.0110      173.0640      194.9440      -32.8200
-0.0381      194.0350      399.8030      205.7680      366.7100      172.6750      194.7370      -33.0930
-0.0391      194.1420      399.8400      205.6980      366.3770      172.2350      194.5437      -33.4630
-0.0391      194.2050      399.8220      205.6170      366.0510      171.8460      194.3600      -33.7710
-0.0401      194.2520      399.8400      205.5880      365.6870      171.4350      194.2037      -34.1530
-0.0411      194.3590      399.7850      205.4260      365.4200      171.0610      193.9710      -34.3650
-0.0411      194.4470      399.8860      205.4390      365.0990      170.6520      193.8433      -34.7870
-0.0421      194.5210      399.8960      205.3750      364.8300      170.3090      193.6863      -35.0660
-0.0431      194.6240      399.8680      205.2440      364.5430      169.9190      193.4690      -35.3250
-0.0441      194.7150      399.8580      205.1430      364.1980      169.4830      193.2563      -35.6600
-0.0441      194.8110      399.8400      205.0290      363.8760      169.0650      193.0410      -35.9640
-0.0451      194.9250      399.9320      205.0070      363.5910      168.6660      192.8933      -36.3410
-0.0451      194.9980      399.8490      204.8510      363.3610      168.3630      192.6883      -36.4880
-0.0461      195.1010      399.8120      204.7110      363.0550      167.9540      192.4587      -36.7570
-0.0471      195.2080      399.8220      204.6140      362.7670      167.5590      192.2623      -37.0550
-0.0471      195.3220      399.8490      204.5270      362.4660      167.1440      192.0660      -37.3830
-0.0481      195.4280      399.8310      204.4030      362.2780      166.8500      191.8853      -37.5530
-0.0481      195.5750      399.8120      204.2370      362.0040      166.4290      191.6343      -37.8080
-0.0491      195.6930      399.8590      204.1660      361.7390      166.0460      191.4593      -38.1200
-0.0501      195.7850      399.8490      204.0640      361.5200      165.7350      191.2877      -38.3290
-0.0501      195.8920      399.8960      204.0040      361.1880      165.2960      191.1013      -38.7080
-0.0511      196.0170      399.8590      203.8420      360.9190      164.9020      190.8620      -38.9400
-0.0521      196.1230      399.8490      203.7260      360.6950      164.5720      190.6747      -39.1540
-0.0521      196.2700      399.8950      203.6250      360.4040      164.1340      190.4613      -39.4910
-0.0531      196.3550      399.9050      203.5500      360.1600      163.8050      190.3017      -39.7450
-0.0531      196.4910      399.8680      203.3770      359.9220      163.4310      190.0617      -39.9460
-0.0541      196.6160      399.8130      203.1970      359.7110      163.0950      189.8297      -40.1020
-0.0551      196.7850      399.8590      203.0740      359.4650      162.6800      189.6093      -40.3940
-0.0551      196.8990      399.8590      202.9600      359.2840      162.3850      189.4350      -40.5750
-0.0561      197.0270      399.7760      202.7490      359.0310      162.0040      189.1673      -40.7450
-0.0561      197.1630      399.8580      202.6950      358.7980      161.6350      189.0083      -41.0600
-0.0571      197.2510      399.8210      202.5700      358.5890      161.3380      188.8260      -41.2320
-0.0581      197.3980      399.8860      202.4880      358.2960      160.8980      188.6247      -41.5900
-0.0581      197.5160      399.8400      202.3240      358.0570      160.5410      188.3963      -41.7830
-0.0591      197.6560      399.9230      202.2670      357.8160      160.1600      188.2313      -42.1070
-0.0602      197.8170      399.7750      201.9580      357.6290      159.8120      187.9093      -42.1460
-0.0602      197.9280      399.8590      201.9310      357.4190      159.4910      187.7843      -42.4400
-0.0612      198.0670      399.8400      201.7730      357.2230      159.1560      187.5673      -42.6170
-0.0622      198.2330      399.8400      201.6070      357.0130      158.7800      187.3313      -42.8270
-0.0622      198.3540      399.8400      201.4860      356.7640      158.4100      187.1273      -43.0760
-0.0632      198.4970      399.8950      201.3980      356.5750      158.0780      186.9580      -43.3200
-0.0642      198.6520      399.8680      201.2160      356.3570      157.7050      186.7123      -43.5110
-0.0642      198.8060      399.7850      200.9790      356.1610      157.3550      186.4377      -43.6240
-0.0652      198.9490      399.8310      200.8820      355.9440      156.9950      186.2530      -43.8870
-0.0662      199.1000      399.8860      200.7860      355.7180      156.6180      186.0633      -44.1680
-0.0662      199.2690      399.8030      200.5340      355.5750      156.3060      185.7913      -44.2280
-0.0672      199.4310      399.8490      200.4180      355.3630      155.9320      185.5893      -44.4860
-0.0682      199.5490      399.8590      200.3100      355.2170      155.6680      185.4293      -44.6420
-0.0682      199.7320      399.8490      200.1170      355.0570      155.3250      185.1863      -44.7920
-0.0692      199.8760      399.8680      199.9920      354.8270      154.9510      184.9783      -45.0410
-0.0702      200.0450      399.8220      199.7770      354.6390      154.5940      184.7160      -45.1830
-0.0702      200.2030      399.8400      199.6370      354.4910      154.2880      184.5207      -45.3490
-0.0712      200.3060      399.8410      199.5350      354.3170      154.0110      184.3603      -45.5240
-0.0722      200.4750      399.8860      199.4110      354.1160      153.6410      184.1543      -45.7700
-0.0722      200.6330      399.8040      199.1710      353.9430      153.3100      183.8840      -45.8610
-0.0732      200.7870      399.8400      199.0530      353.7590      152.9720      183.6927      -46.0810
-0.0742      200.9600      399.8680      198.9080      353.6010      152.6410      183.4857      -46.2670
-0.0742      201.1140      399.7940      198.6800      353.4850      152.3710      183.2437      -46.3090
-0.0752      201.2910      399.7760      198.4850      353.3170      152.0260      182.9987      -46.4590
-0.0762      201.4410      399.8950      198.4540      353.1550      151.7140      182.8740      -46.7400
-0.0762      201.5810      399.8950      198.3140      352.9670      151.3860      182.6713      -46.9280
-0.0772      201.7570      399.8490      198.0920      352.7530      150.9960      182.3933      -47.0960
-0.0782      201.9010      399.7850      197.8840      352.6800      150.7790      182.1823      -47.1050
-0.0782      202.0630      399.8770      197.8140      352.4820      150.4190      182.0157      -47.3950
-0.0792      202.2100      399.7950      197.5850      352.3280      150.1180      181.7627      -47.4670
-0.0802      202.4010      399.8040      197.4030      352.1920      149.7910      181.5323      -47.6120
-0.0802      202.5440      399.8220      197.2780      351.9990      149.4550      181.3370      -47.8230
-0.0812      202.6950      399.8590      197.1640      351.8760      149.1810      181.1697      -47.9830
-0.0812      202.8970      399.8040      196.9070      351.7060      148.8090      180.8743      -48.0980
-0.0822      203.0400      399.7940      196.7540      351.5880      148.5480      180.6853      -48.2060
-0.0832      203.1840      399.8220      196.6380      351.4450      148.2610      180.5123      -48.3770
-0.0832      203.3420      399.7120      196.3700      351.2450      147.9030      180.2143      -48.4670
-0.0842      203.5000      399.8590      196.3590      351.0390      147.5390      180.0857      -48.8200
-0.0852      203.6940      399.7570      196.0630      350.9480      147.2540      179.7933      -48.8090
-0.0862      203.8740      399.8120      195.9380      350.7780      146.9040      179.5933      -49.0340
-0.0862      204.0360      399.8680      195.8320      350.6170      146.5810      179.4150      -49.2510
-0.0872      204.1910      399.8220      195.6310      350.5430      146.3520      179.2047      -49.2790
-0.0872      204.3630      399.8030      195.4400      350.4080      146.0450      178.9750      -49.3950
-0.0882      204.6100      399.8590      195.2490      350.2230      145.6130      178.7037      -49.6360
-0.0882      204.7460      399.7210      194.9750      350.1750      145.4290      178.4597      -49.5460
-0.0892      204.9110      399.8310      194.9200      350.0120      145.1010      178.3137      -49.8190
-0.0902      205.0950      399.7670      194.6720      349.8600      144.7650      178.0363      -49.9070
-0.0902      205.2750      399.8500      194.5750      349.7170      144.4420      177.8640      -50.1330
-0.0912      205.4110      399.7850      194.3740      349.5570      144.1460      177.6313      -50.2280
-0.0922      205.5800      399.8220      194.2420      349.4600      143.8800      177.4547      -50.3620
-0.0932      205.7820      399.7940      194.0120      349.3380      143.5560      177.1933      -50.4560
-0.0932      205.9550      399.7580      193.8030      349.2280      143.2730      176.9597      -50.5300
-0.0942      206.1350      399.8130      193.6780      349.1110      142.9760      176.7773      -50.7020
-0.0942      206.3220      399.8310      193.5090      348.9810      142.6590      176.5590      -50.8500
-0.0952      206.5390      399.8220      193.2830      348.8590      142.3200      176.2953      -50.9630
-0.0962      206.7160      399.9050      193.1890      348.7310      142.0150      176.1310      -51.1740
-0.0962      206.8440      399.8400      192.9960      348.5710      141.7270      175.9063      -51.2690
-0.0972      207.0350      399.8210      192.7860      348.5110      141.4760      175.6827      -51.3100
-0.0982      207.2040      399.7940      192.5900      348.3490      141.1450      175.4417      -51.4450
-0.0982      207.3850      399.8680      192.4830      348.2050      140.8200      175.2620      -51.6630
-0.0992      207.5650      399.7760      192.2110      348.1250      140.5600      174.9940      -51.6510
-0.1003      207.7520      399.8490      192.0970      348.0430      140.2910      174.8283      -51.8060
-0.1003      207.9580      399.9410      191.9830      347.9130      139.9550      174.6403      -52.0280
-0.1013      208.1160      399.8310      191.7150      347.8180      139.7020      174.3773      -52.0130
-0.1023      208.3110      399.8590      191.5480      347.6900      139.3790      174.1583      -52.1690
-0.1023      208.4910      399.7760      191.2850      347.6260      139.1350      173.9017      -52.1500
-0.1033      208.6600      399.8490      191.1890      347.4060      138.7460      173.7080      -52.4430
-0.1043      208.8620      399.8220      190.9600      347.3860      138.5240      173.4813      -52.4360
-0.1043      209.0420      399.9140      190.8720      347.2140      138.1720      173.3053      -52.7000
-0.1053      209.2000      399.7940      190.5940      347.1590      137.9590      173.0490      -52.6350
-0.1063      209.4100      399.7580      190.3480      347.0520      137.6420      172.7793      -52.7060
-0.1063      209.6150      399.8310      190.2160      346.9260      137.3110      172.5810      -52.9050
-0.1073      209.8290      399.8680      190.0390      346.8940      137.0650      172.3810      -52.9740
-0.1083      209.9720      399.8130      189.8410      346.7950      136.8230      172.1683      -53.0180
-0.1083      210.1820      399.7950      189.6130      346.7400      136.5580      171.9280      -53.0550
-0.1093      210.3650      399.8670      189.5020      346.5910      136.2260      171.7433      -53.2760
-0.1103      210.5420      399.7120      189.1700      346.4790      135.9370      171.4257      -53.2330
-0.1103      210.7290      399.8030      189.0740      346.4310      135.7020      171.2833      -53.3720
-0.1113      210.9280      399.7400      188.8120      346.3320      135.4040      171.0093      -53.4080
-0.1123      211.1220      399.7850      188.6630      346.2540      135.1320      170.8193      -53.5310
-0.1123      211.3140      399.7950      188.4810      346.1360      134.8220      170.5947      -53.6590
-0.1133      211.4680      399.7760      188.3080      346.0640      134.5960      170.4040      -53.7120
