eps1         u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.0000      200.0560      400.1650      200.1090      400.0540      199.9980      200.0720      -0.1110
0.0000      200.5300      400.2110      199.6810      401.3370      200.8070      200.0563      1.1260
0.0010      201.0340      400.2480      199.2140      402.6190      201.5850      200.0043      2.3710
0.0020      201.5520      400.1740      198.6220      403.9410      202.3890      199.8777      3.7670
0.0020      202.0520      400.2300      198.1780      405.1090      203.0570      199.8043      4.8790
0.0030      202.5450      400.1660      197.6210      406.2930      203.7480      199.6633      6.1270
0.0040      203.0190      400.2390      197.2200      407.5240      204.5050      199.6483      7.2850
0.0040      203.4450      400.3490      196.9040      408.6260      205.1810      199.6630      8.2770
0.0050      203.9410      400.2480      196.3070      409.7570      205.8160      199.4767      9.5090
0.0050      204.4080      400.1840      195.7760      410.7880      206.3800      199.3107      10.6040
0.0060      204.8600      400.2660      195.4060      411.8250      206.9650      199.2590      11.5590
0.0070      205.2970      400.2470      194.9500      412.9490      207.6520      199.1840      12.7020
0.0070      205.7610      400.2210      194.4600      413.9240      208.1630      199.0277      13.7030
0.0080      206.2460      400.1930      193.9470      414.9470      208.7010      198.8650      14.7540
0.0090      206.7050      400.1930      193.4880      415.8750      209.1700      198.7153      15.6820
0.0090      207.1530      400.2200      193.0670      416.7830      209.6300      198.5880      16.5630
0.0100      207.6170      400.2390      192.6220      417.7580      210.1410      198.4617      17.5190
0.0110      208.0830      400.2020      192.1190      418.6040      210.5210      198.2530      18.4020
0.0110      208.5350      400.2110      191.6760      419.4800      210.9450      198.0990      19.2690
0.0120      208.9730      400.2300      191.2570      420.2840      211.3110      197.9417      20.0540
0.0130      209.4430      400.2750      190.8320      421.0380      211.5950      197.7530      20.7630
0.0130      209.8810      400.1930      190.3120      421.9120      212.0310      197.5517      21.7190
0.0140      210.3250      400.2200      189.8950      422.6770      212.3520      197.3807      22.4570
0.0140      210.8180      400.2110      189.3930      423.4720      212.6540      197.1467      23.2610
0.0150      211.2550      400.2390      188.9840      424.1980      212.9430      196.9703      23.9590
0.0160      211.7070      400.2290      188.5220      424.9780      213.2710      196.7717      24.7490
0.0160      212.1480      400.2200      188.0720      425.7400      213.5920      196.5787      25.5200
0.0170      212.6080      400.2480      187.6400      426.4740      213.8660      196.3820      26.2260
0.0180      213.0710      400.2110      187.1400      427.2200      214.1490      196.1430      27.0090
0.0180      213.5300      400.4130      186.8830      427.8280      214.2980      196.0213      27.4150
0.0190      213.9710      400.2290      186.2580      428.5760      214.6050      195.7070      28.3470
0.0200      214.3680      400.1740      185.8060      429.3260      214.9580      195.5233      29.1520
0.0200      214.8530      400.1650      185.3120      429.9780      215.1250      195.2497      29.8130
0.0210      215.2830      400.2020      184.9190      430.6770      215.3940      195.0773      30.4750
0.0220      215.7390      400.1740      184.4350      431.3860      215.6470      194.8390      31.2120
0.0220      216.1660      400.1840      184.0180      432.0810      215.9150      194.6503      31.8970
0.0230      216.6100      400.1740      183.5640      432.7100      216.1000      194.4093      32.5360
0.0230      217.0290      400.2480      183.2190      433.3270      216.2980      194.2453      33.0790
0.0240      217.4700      400.2290      182.7590      433.9910      216.5210      194.0130      33.7620
0.0250      217.9220      400.1920      182.2700      434.6190      216.6970      193.7457      34.4270
0.0250      218.3740      400.2840      181.9100      435.2570      216.8830      193.5677      34.9730
0.0260      218.7750      400.2390      181.4640      435.8520      217.0770      193.3350      35.6130
0.0270      219.1870      400.2110      181.0240      436.4860      217.2990      193.1157      36.2750
0.0270      219.6240      400.2570      180.6330      437.1330      217.5090      192.9250      36.8760
0.0280      220.0390      400.1740      180.1350      437.7570      217.7180      192.6627      37.5830
0.0280      220.4620      400.3580      179.8960      438.3370      217.8750      192.5557      37.9790
0.0290      220.9140      400.3120      179.3980      438.9600      218.0460      192.2807      38.6480
0.0290      221.2930      400.1660      178.8730      439.5470      218.2540      192.0000      39.3810
0.0300      221.7370      400.2570      178.5200      440.1560      218.4190      191.8197      39.8990
0.0310      222.1450      400.2290      178.0840      440.7320      218.5870      191.5850      40.5030
0.0310      222.5530      400.1830      177.6300      441.3090      218.7560      191.3387      41.1260
0.0320      222.9760      400.1740      177.1980      441.8680      218.8920      191.0960      41.6940
0.0320      223.4280      400.2290      176.8010      442.4350      219.0070      190.8697      42.2060
0.0330      223.7740      400.1930      176.4190      443.0500      219.2760      190.7047      42.8570
0.0340      224.2220      400.2200      175.9980      443.6040      219.3820      190.4593      43.3840
0.0340      224.6040      400.3030      175.6990      444.1360      219.5320      190.3100      43.8330
0.0350      225.0190      400.2110      175.1920      444.7290      219.7100      190.0313      44.5180
0.0360      225.4350      400.1750      174.7400      445.2400      219.8050      189.7617      45.0650
0.0360      225.8060      400.3030      174.4970      445.7810      219.9750      189.6563      45.4780
0.0370      226.1880      400.2200      174.0320      446.3470      220.1590      189.4077      46.1270
0.0370      226.6070      400.2020      173.5950      446.9110      220.3040      189.1647      46.7090
0.0380      227.0410      400.2850      173.2440      447.4190      220.3780      188.9553      47.1340
0.0390      227.3860      400.2570      172.8710      447.9310      220.5450      188.7623      47.6740
0.0390      227.7910      400.2670      172.4760      448.4650      220.6740      188.5420      48.1980
0.0400      228.1800      400.2480      172.0680      449.0280      220.8480      188.3280      48.7800
0.0410      228.5480      400.2480      171.7000      449.5570      221.0090      188.1363      49.3090
0.0420      228.9890      400.2020      171.2130      450.0970      221.1080      187.8447      49.8950
0.0420      229.3750      400.2210      170.8460      450.6110      221.2360      187.6427      50.3900
0.0430      229.7640      400.2660      170.5020      451.1470      221.3830      187.4623      50.8810
0.0440      230.1170      400.2200      170.1030      451.6340      221.5170      187.2410      51.4140
0.0440      230.5030      400.2020      169.6990      452.1270      221.6240      187.0073      51.9250
0.0450      230.9070      400.2930      169.3860      452.6110      221.7040      186.8253      52.3180
0.0450      231.2600      400.2290      168.9690      453.1380      221.8780      186.6053      52.9090
0.0460      231.6540      400.2580      168.6040      453.6250      221.9710      186.3930      53.3670
0.0470      232.0690      400.1010      168.0320      454.2170      222.1480      186.0707      54.1160
0.0480      232.4290      400.1930      167.7640      454.6690      222.2400      185.9227      54.4760
0.0480      232.7970      400.2580      167.4610      455.1660      222.3690      185.7637      54.9080
0.0490      233.1790      400.1560      166.9770      455.6400      222.4610      185.4717      55.4840
0.0500      233.6130      400.2390      166.6260      456.1220      222.5090      185.2537      55.8830
0.0500      233.9140      400.2760      166.3620      456.5710      222.6570      185.1270      56.2950
0.0509      234.2740      400.2110      165.9370      456.9910      222.7170      184.8637      56.7800
0.0519      234.6340      400.1650      165.5310      457.4340      222.8000      184.6207      57.2690
0.0519      234.9950      400.2030      165.2080      457.9520      222.9570      184.4577      57.7490
0.0529      235.3330      400.2120      164.8790      458.4420      223.1090      184.2890      58.2300
0.0529      235.7190      400.2480      164.5290      458.8780      223.1590      184.0723      58.6300
0.0539      236.0820      400.2570      164.1750      459.3420      223.2600      183.8700      59.0850
0.0549      236.4320      400.1930      163.7610      459.7730      223.3410      183.6210      59.5800
0.0549      236.7840      400.1830      163.3990      460.2380      223.4540      183.4173      60.0550
0.0559      237.1480      400.2200      163.0720      460.6690      223.5210      183.2217      60.4490
0.0569      237.5230      400.2660      162.7430      461.0840      223.5610      183.0157      60.8180
0.0569      237.8250      400.2390      162.4140      461.4900      223.6650      182.8310      61.2510
0.0579      238.1660      400.1560      161.9900      461.8550      223.6890      182.5563      61.6990
0.0589      238.4930      400.1740      161.6810      462.3250      223.8320      182.3980      62.1510
0.0589      238.8240      400.2200      161.3960      462.7770      223.9530      182.2483      62.5570
0.0599      239.1770      400.1840      161.0070      463.2300      224.0530      182.0223      63.0460
0.0599      239.5450      400.2120      160.6670      463.5960      224.0510      181.7950      63.3840
0.0609      239.8970      400.2110      160.3140      464.0190      224.1220      181.5833      63.8080
0.0619      240.2030      400.1750      159.9720      464.4840      224.2810      181.4083      64.3090
0.0619      240.5770      400.1920      159.6150      464.9140      224.3370      181.1890      64.7220
0.0629      240.8900      400.2660      159.3760      465.2920      224.4020      181.0513      65.0260
0.0629      241.2210      400.3490      159.1280      465.6930      224.4720      180.9093      65.3440
0.0639      241.5370      400.2020      158.6650      466.0790      224.5420      180.6240      65.8770
0.0639      241.8600      400.2110      158.3510      466.4230      224.5630      180.4217      66.2120
0.0649      242.1950      400.2670      158.0720      466.8830      224.6880      180.2773      66.6160
0.0659      242.5220      400.2020      157.6800      467.3200      224.7980      180.0527      67.1180
0.0669      242.8930      400.3670      157.4740      467.6670      224.7740      179.9073      67.3000
0.0669      243.1910      400.1840      156.9930      468.0510      224.8600      179.6153      67.8670
0.0679      243.5100      400.2750      156.7650      468.4840      224.9740      179.5013      68.2090
0.0689      243.8740      400.2750      156.4010      468.9010      225.0270      179.2763      68.6260
0.0689      244.1460      400.2020      156.0560      469.3050      225.1590      179.0903      69.1030
0.0699      244.4920      400.1750      155.6830      469.6670      225.1750      178.8470      69.4920
0.0699      244.7780      400.1920      155.4140      470.0230      225.2450      178.6910      69.8310
0.0709      245.0940      400.2020      155.1080      470.4240      225.3300      178.5153      70.2220
0.0719      245.3990      400.2200      154.8210      470.8230      225.4240      178.3553      70.6030
0.0719      245.7410      400.2110      154.4700      471.1850      225.4440      178.1280      70.9740
0.0729      246.0650      400.2390      154.1740      471.5650      225.5000      177.9493      71.3260
0.0739      246.3920      400.1930      153.8010      471.9620      225.5700      177.7240      71.7690
0.0749      246.7040      400.1830      153.4790      472.3910      225.6870      177.5483      72.2080
0.0749      247.0170      400.2300      153.2130      472.7320      225.7150      177.3803      72.5020
0.0759      247.3250      400.2380      152.9130      473.1070      225.7820      177.2027      72.8690
0.0769      247.6380      400.2210      152.5830      473.4180      225.7800      176.9820      73.1970
0.0769      247.9650      400.3210      152.3560      473.7430      225.7780      176.8300      73.4220
0.0779      248.2040      400.1470      151.9430      474.1920      225.9880      176.6247      74.0450
0.0779      248.5530      400.2020      151.6490      474.5550      226.0020      176.4333      74.3530
0.0789      248.8510      400.2850      151.4340      474.9160      226.0650      176.3110      74.6310
0.0799      249.1810      400.2570      151.0760      475.2380      226.0570      176.0697      74.9810
0.0809      249.4870      400.2390      150.7520      475.5450      226.0580      175.8540      75.3060
0.0809      249.7990      400.1840      150.3850      475.9950      226.1960      175.6553      75.8110
0.0819      250.0820      400.2390      150.1570      476.3790      226.2970      175.5370      76.1400
0.0819      250.3650      400.2110      149.8460      476.7380      226.3730      175.3550      76.5270
0.0829      250.6770      400.1740      149.4970      477.0050      226.3280      175.1073      76.8310
0.0839      250.9750      400.1930      149.2180      477.2930      226.3180      174.9180      77.1000
0.0839      251.2540      400.1280      148.8740      477.7560      226.5020      174.7500      77.6280
0.0849      251.5850      400.1930      148.6080      478.1340      226.5490      174.5883      77.9410
0.0859      251.8870      400.2300      148.3430      478.4840      226.5970      174.4277      78.2540
0.0859      252.1700      400.2480      148.0780      478.8010      226.6310      174.2623      78.5530
0.0869      252.4820      400.1650      147.6830      479.0740      226.5920      173.9860      78.9090
0.0879      252.7760      400.1840      147.4080      479.5150      226.7390      173.8517      79.3310
0.0879      253.0700      400.1930      147.1230      479.8560      226.7860      173.6773      79.6630
0.0889      253.3420      400.1560      146.8140      480.1730      226.8310      173.4863      80.0170
0.0899      253.6360      400.1190      146.4830      480.4900      226.8540      173.2733      80.3710
0.0899      253.9370      400.2020      146.2650      480.7830      226.8460      173.1253      80.5810
0.0909      254.2130      400.2480      146.0350      481.1160      226.9030      172.9910      80.8680
0.0919      254.5180      400.1650      145.6470      481.4810      226.9630      172.7523      81.3160
0.0919      254.7940      400.2760      145.4820      481.7660      226.9720      172.6453      81.4900
0.0929      255.0550      400.1750      145.1200      482.1070      227.0520      172.4307      81.9320
0.0929      255.3410      400.2200      144.8790      482.4150      227.0740      172.2773      82.1950
0.0939      255.6280      400.2480      144.6200      482.6830      227.0550      172.0983      82.4350
0.0949      255.8380      400.2390      144.4010      483.0380      227.2000      172.0007      82.7990
0.0949      256.1650      400.2110      144.0460      483.3110      227.1460      171.7460      83.1000
0.0959      256.4370      400.2940      143.8570      483.5790      227.1420      171.6187      83.2850
0.0969      256.6980      400.2120      143.5140      483.8950      227.1970      171.4083      83.6830
0.0969      256.9370      400.2390      143.3020      484.1780      227.2410      171.2817      83.9390
0.0979      257.2340      400.1650      142.9310      484.5630      227.3290      171.0637      84.3980
0.0989      257.4690      400.2110      142.7420      484.8700      227.4010      170.9617      84.6590
0.0989      257.7490      400.2110      142.4620      485.1590      227.4100      170.7780      84.9480
0.0999      258.0280      400.1740      142.1460      485.4730      227.4450      170.5790      85.2990
0.0999      258.3070      400.2290      141.9220      485.7680      227.4610      170.4350      85.5390
0.1009      258.5830      400.1740      141.5910      486.0890      227.5060      170.2293      85.9150
0.1019      258.8110      400.2300      141.4190      486.3270      227.5160      170.1180      86.0970
0.1019      259.0870      400.2210      141.1340      486.6390      227.5520      169.9400      86.4180
0.1029      259.3400      400.1190      140.7790      486.9370      227.5970      169.7183      86.8180
0.1039      259.6010      400.1280      140.5270      487.2120      227.6110      169.5550      87.0840
0.1039      259.8400      400.1840      140.3440      487.5580      227.7180      169.4687      87.3740
0.1049      260.0940      400.2020      140.1080      487.8600      227.7660      169.3273      87.6580
0.1059      260.3660      400.2120      139.8460      488.1220      227.7560      169.1493      87.9100
0.1069      260.6270      400.2940      139.6670      488.4000      227.7730      169.0357      88.1060
0.1069      260.8800      400.1650      139.2850      488.7330      227.8530      168.8077      88.5680
0.1079      261.1300      400.2940      139.1640      488.9840      227.8540      168.7273      88.6900
0.1079      261.3540      400.2570      138.9030      489.2190      227.8650      168.5570      88.9620
0.1089      261.6230      400.1470      138.5240      489.4490      227.8260      168.2913      89.3020
0.1099      261.8360      400.1840      138.3480      489.7220      227.8860      168.1940      89.5380
0.1099      262.0890      400.2470      138.1580      490.0080      227.9190      168.0783      89.7610
0.1109      262.3500      400.2380      137.8880      490.3370      227.9870      167.9210      90.0990
0.1119      262.5670      400.2020      137.6350      490.5830      228.0160      167.7620      90.3810
0.1129      262.7990      400.2110      137.4120      490.8800      228.0810      167.6350      90.6690
0.1129      263.0820      400.2390      137.1570      491.1210      228.0390      167.4510      90.8820
0.1139      263.3060      400.2110      136.9050      491.4390      228.1330      167.3143      91.2280
0.1149      263.5300      400.2660      136.7360      491.7090      228.1790      167.2170      91.4430
0.1149      263.7910      400.2390      136.4480      491.9890      228.1980      167.0313      91.7500
0.1159      264.0150      400.1920      136.1770      492.1510      228.1360      166.8300      91.9590
0.1169      264.2430      400.1830      135.9400      492.3730      228.1300      166.6700      92.1900
0.1169      264.4820      400.2200      135.7380      492.7180      228.2360      166.5707      92.4980
0.1179      264.6990      400.2480      135.5490      493.0010      228.3020      166.4667      92.7530
0.1179      264.9340      400.2110      135.2770      493.2620      228.3280      166.2940      93.0510
0.1189      265.1770      400.2300      135.0530      493.4860      228.3090      166.1383      93.2560
