eps1          u            sigma3        sigma3'       sigma1       sigma1'       p             q
[%]          [kPa]         [kPa]         [kPa]         [kPa]        [kPa]         [kPa]         [kPa] 

0.0000       199.3500      300.5090      101.1590      299.8260     100.4760      100.9313      -0.6830
0.0000       199.2950      300.5180      101.2230      299.6290     100.3340      100.9267      -0.8890
0.0000       199.1630      300.4630      101.3000      299.1720     100.0090      100.8697      -1.2910
0.0000       199.0190      300.4810      101.4620      298.7631      99.7441      100.8894      -1.7179
0.0000       198.8430      300.5450      101.7020      298.3378      99.4948      100.9663      -2.2072
0.0000       198.6300      300.5090      101.8790      297.8332      99.2032      100.9871      -2.6758
0.0000       198.4170      300.5180      102.1010      297.1813      98.7643      100.9888      -3.3367
0.0000       198.2330      300.5360      102.3030      296.6102      98.3772      100.9944      -3.9258
-0.0010      198.0160      300.5270      102.5110      296.0124      97.9964      101.0061      -4.5146
-0.0010      197.8100      300.4990      102.6890      295.4658      97.6558      101.0113      -5.0332
-0.0010      197.6370      300.4900      102.8530      294.9040      97.2670      100.9910      -5.5860
-0.0010      197.4540      300.3990      102.9450      294.3075      96.8535      100.9145      -6.0915
-0.0020      197.2480      300.5180      103.2700      293.6491      96.4011      100.9804      -6.8689
-0.0020      197.0860      300.5550      103.4690      293.0339      95.9479      100.9620      -7.5211
-0.0020      196.8950      300.4540      103.5590      292.4784      95.5834      100.9005      -7.9756
-0.0030      196.7410      300.4450      103.7040      291.9174      95.1764      100.8615      -8.5276
-0.0030      196.6160      300.5000      103.8840      291.4214      94.8054      100.8578      -9.0786
-0.0040      196.4540      300.5270      104.0730      290.8949      94.4409      100.8623      -9.6321
-0.0040      196.3030      300.5450      104.2420      290.3922      94.0892      100.8577      -10.1528
-0.0050      196.2340      300.4730      104.2390      289.9430      93.7090      100.7290      -10.5300
-0.0050      196.1230      300.5450      104.4220      289.5472      93.4242      100.7561      -10.9978
-0.0060      196.0530      300.4720      104.4190      289.1368      93.0838      100.6406      -11.3352
-0.0060      195.9950      300.5000      104.5050      288.6438      92.6488      100.5529      -11.8562
-0.0070      195.9390      300.5730      104.6340      288.1609      92.2219      100.4966      -12.4121
-0.0070      195.8620      300.4990      104.6370      287.6716      91.8096      100.3612      -12.8274
-0.0080      195.7740      300.4810      104.7070      287.2855      91.5115      100.3085      -13.1955
-0.0090      195.7630      300.4350      104.6720      286.9129      91.1499      100.1646      -13.5221
-0.0090      195.7080      300.4810      104.7730      286.5418      90.8338      100.1266      -13.9392
-0.0100      195.6790      300.5280      104.8490      286.1563      90.4773      100.0584      -14.3717
-0.0100      195.6530      300.4910      104.8380      285.7848      90.1318      99.9359      -14.7062
-0.0110      195.6530      300.4720      104.8190      285.4311      89.7781      99.8054      -15.0409
-0.0110      195.6530      300.5370      104.8840      285.1607      89.5077      99.7586      -15.3763
-0.0120      195.6640      300.4910      104.8270      284.8707      89.2067      99.6202      -15.6203
-0.0130      195.6420      300.4630      104.8210      284.5191      88.8771      99.5064      -15.9439
-0.0130      195.6270      300.4810      104.8540      284.0958      88.4688      99.3923      -16.3852
-0.0140      195.6090      300.4630      104.8540      283.8111      88.2021      99.3034      -16.6519
-0.0140      195.6530      300.4170      104.7640      283.5358      87.8828      99.1369      -16.8812
-0.0150      195.6930      300.4440      104.7510      283.1498      87.4568      98.9863      -17.2942
-0.0160      195.7040      300.5090      104.8050      282.8861      87.1821      98.9307      -17.6229
-0.0160      195.7450      300.4820      104.7370      282.6654      86.9204      98.7981      -17.8166
-0.0170      195.7780      300.4720      104.6940      282.3056      86.5276      98.6385      -18.1664
-0.0170      195.7850      300.4810      104.6960      282.0216      86.2366      98.5429      -18.4594
-0.0180      195.8330      300.4910      104.6580      281.7164      85.8834      98.3998      -18.7746
-0.0190      195.8840      300.4530      104.5690      281.4744      85.5904      98.2428      -18.9786
-0.0200      195.8770      300.4900      104.6130      281.2353      85.3583      98.1948      -19.2547
-0.0200      195.9360      300.5820      104.6460      280.9227      84.9867      98.0929      -19.6593
-0.0210      195.9840      300.4360      104.4520      280.6696      84.6856      97.8632      -19.7664
-0.0220      196.0240      300.4810      104.4570      280.4171      84.3931      97.7690      -20.0639
-0.0220      196.1340      300.5730      104.4390      280.1691      84.0351      97.6377      -20.4039
-0.0230      196.1380      300.5270      104.3890      279.9299      83.7919      97.5233      -20.5971
-0.0230      196.1750      300.5000      104.3250      279.7339      83.5589      97.4030      -20.7661
-0.0240      196.2670      300.4910      104.2240      279.5300      83.2630      97.2370      -20.9610
-0.0240      196.3360      300.5360      104.2000      279.2915      82.9555      97.1185      -21.2445
-0.0250      196.3840      300.4440      104.0600      279.1166      82.7326      96.9509      -21.3274
-0.0260      196.4580      300.5180      104.0600      278.9273      82.4693      96.8631      -21.5907
-0.0260      196.4940      300.4440      103.9500      278.6500      82.1560      96.6853      -21.7940
-0.0270      196.5460      300.4630      103.9170      278.4081      81.8621      96.5654      -22.0549
-0.0280      196.6080      300.5360      103.9280      278.1781      81.5701      96.4754      -22.3579
-0.0290      196.7000      300.5540      103.8540      277.9714      81.2714      96.3265      -22.5826
-0.0290      196.7440      300.4900      103.7460      277.8591      81.1151      96.2024      -22.6309
-0.0300      196.8550      300.5370      103.6820      277.6400      80.7850      96.0497      -22.8970
-0.0310      196.9060      300.5090      103.6030      277.4286      80.5226      95.9095      -23.0804
-0.0310      196.9690      300.5180      103.5490      277.2499      80.2809      95.7930      -23.2681
-0.0320      197.0790      300.4350      103.3560      277.1158      80.0368      95.5829      -23.3192
-0.0320      197.1270      300.5180      103.3910      276.8019      79.6749      95.4856      -23.7161
-0.0330      197.2000      300.5550      103.3550      276.6737      79.4737      95.3946      -23.8813
-0.0340      197.2770      300.4530      103.1760      276.5582      79.2812      95.2111      -23.8948
-0.0340      197.3430      300.5180      103.1750      276.3126      78.9696      95.1065      -24.2054
-0.0350      197.4500      300.5270      103.0770      276.1412      78.6912      94.9484      -24.3858
-0.0360      197.5130      300.5000      102.9870      276.0211      78.5081      94.8274      -24.4789
-0.0370      197.6080      300.4900      102.8820      275.8705      78.2625      94.6755      -24.6195
-0.0370      197.7180      300.5080      102.7900      275.6818      77.9638      94.5146      -24.8262
-0.0380      197.7850      300.5090      102.7240      275.5851      77.8001      94.4160      -24.9239
-0.0380      197.8910      300.4440      102.5530      275.3924      77.5014      94.2025      -25.0516
-0.0390      197.9390      300.5090      102.5700      275.2231      77.2841      94.1414      -25.2859
-0.0400      198.0230      300.5080      102.4850      275.0814      77.0584      94.0095      -25.4266
-0.0400      198.1300      300.4900      102.3600      274.9051      76.7751      93.8317      -25.5849
-0.0410      198.2260      300.5370      102.3110      274.8011      76.5751      93.7324      -25.7359
-0.0420      198.3030      300.4720      102.1690      274.6630      76.3600      93.5660      -25.8090
-0.0420      198.4020      300.5550      102.1530      274.4605      76.0585      93.4548      -26.0945
-0.0430      198.4870      300.5460      102.0590      274.3977      75.9107      93.3429      -26.1483
-0.0440      198.5710      300.4810      101.9100      274.2701      75.6991      93.1730      -26.2109
-0.0440      198.6890      300.4540      101.7650      274.0994      75.4104      92.9801      -26.3546
-0.0450      198.7700      300.5370      101.7670      273.9511      75.1811      92.9050      -26.5859
-0.0460      198.8430      300.5820      101.7390      273.8824      75.0394      92.8391      -26.6996
-0.0460      198.9460      300.5270      101.5810      273.6888      74.7428      92.6349      -26.8382
-0.0470      199.0270      300.5090      101.4820      273.6022      74.5752      92.5131      -26.9068
-0.0470      199.1330      300.5450      101.4120      273.4309      74.2979      92.3740      -27.1141
-0.0480      199.2140      300.5090      101.2950      273.3847      74.1707      92.2536      -27.1243
-0.0480      199.3610      300.5090      101.1480      273.2220      73.8610      92.0523      -27.2870
-0.0490      199.4380      300.4720      101.0340      273.1610      73.7230      91.9303      -27.3110
-0.0500      199.5300      300.5360      101.0060      272.9912      73.4612      91.8244      -27.5448
-0.0500      199.6330      300.5180      100.8850      272.9376      73.3046      91.6915      -27.5804
-0.0510      199.7290      300.4910      100.7620      272.7561      73.0271      91.5170      -27.7349
-0.0520      199.8280      300.5000      100.6720      272.7172      72.8892      91.4111      -27.7828
-0.0520      199.9270      300.5360      100.6090      272.5499      72.6229      91.2803      -27.9861
-0.0530      199.9820      300.4990      100.5170      272.4420      72.4600      91.1647      -28.0570
-0.0540      200.1220      300.5180      100.3960      272.3984      72.2764      91.0228      -28.1196
-0.0540      200.2400      300.5000      100.2600      272.2761      72.0361      90.8520      -28.2239
-0.0550      200.3540      300.4720      100.1180      272.1483      71.7943      90.6768      -28.3237
-0.0550      200.4310      300.5090      100.0780      272.1149      71.6839      90.6133      -28.3941
-0.0560      200.5670      300.4723      99.9053      272.0178      71.4508      90.4205      -28.4545
-0.0560      200.6550      300.5180      99.8630      271.8702      71.2152      90.3137      -28.6478
-0.0570      200.7430      300.5453      99.8023      271.7841      71.0411      90.2152      -28.7612
-0.0580      200.8500      300.4723      99.6223      271.6667      70.8167      90.0204      -28.8056
-0.0590      200.9340      300.5177      99.5837      271.6811      70.7471      89.9715      -28.8366
-0.0590      201.0300      300.5456      99.5156      271.4947      70.4647      89.8320      -29.0509
-0.0600      201.1510      300.4444      99.2934      271.4622      70.3112      89.6327      -28.9822
-0.0600      201.2580      300.5550      99.2970      271.3083      70.0503      89.5481      -29.2467
-0.0610      201.3940      300.4815      99.0875      271.3457      69.9517      89.3756      -29.1358
-0.0620      201.4750      300.4724      98.9974      271.1924      69.7174      89.2374      -29.2800
-0.0620      201.6360      300.5728      98.9368      271.1695      69.5335      89.1357      -29.4033
-0.0630      201.6910      300.4441      98.7531      271.0887      69.3977      88.9680      -29.3554
-0.0640      201.8270      300.4533      98.6263      270.9851      69.1581      88.8036      -29.4682
-0.0640      201.9120      300.4905      98.5785      270.8187      68.9067      88.6879      -29.6718
-0.0650      201.9960      300.4991      98.5031      270.8845      68.8885      88.6316      -29.6146
-0.0660      202.1030      300.4812      98.3782      270.7005      68.5975      88.4513      -29.7807
-0.0660      202.2210      300.4907      98.2697      270.6774      68.4564      88.3319      -29.8133
-0.0670      202.3750      300.5547      98.1797      270.5576      68.1826      88.1807      -29.9971
-0.0680      202.4380      300.4358      97.9978      270.5478      68.1098      88.0351      -29.8880
-0.0690      202.5550      300.5086      97.9536      270.4261      67.8711      87.9261      -30.0825
-0.0690      202.6510      300.5274      97.8764      270.4584      67.8074      87.8534      -30.0690
-0.0700      202.7870      300.4816      97.6946      270.3818      67.5948      87.6613      -30.0998
-0.0710      202.8640      300.5181      97.6541      270.2141      67.3501      87.5528      -30.3040
-0.0710      202.9560      300.4448      97.4888      270.1977      67.2417      87.4064      -30.2471
-0.0720      203.0770      300.4536      97.3766      270.1627      67.0857      87.2796      -30.2909
-0.0720      203.1910      300.5271      97.3361      270.0707      66.8797      87.1840      -30.4564
-0.0730      203.3090      300.5643      97.2553      269.9940      66.6850      87.0652      -30.5703
-0.0740      203.4120      300.5093      97.0973      269.9623      66.5503      86.9150      -30.5470
-0.0740      203.5550      300.4722      96.9172      269.8764      66.3214      86.7186      -30.5958
-0.0750      203.6250      300.5183      96.8933      269.7720      66.1470      86.6445      -30.7463
-0.0760      203.7970      300.4624      96.6654      269.8262      66.0292      86.4533      -30.6362
-0.0760      203.8750      300.5183      96.6433      269.8149      65.9399      86.4088      -30.7034
-0.0770      203.9450      300.4909      96.5459      269.7162      65.7712      86.2877      -30.7747
-0.0780      204.0730      300.4444      96.3714      269.5989      65.5259      86.0896      -30.8455
-0.0780      204.1800      300.4448      96.2648      269.5379      65.3579      85.9625      -30.9069
-0.0790      204.2750      300.5177      96.2427      269.5242      65.2492      85.9115      -30.9935
-0.0800      204.3600      300.4539      96.0939      269.4916      65.1316      85.7731      -30.9623
-0.0800      204.4550      300.5084      96.0534      269.3957      64.9407      85.6825      -31.1127
-0.0810      204.6240      300.5726      95.9486      269.3234      64.6994      85.5322      -31.2492
-0.0810      204.6800      300.4633      95.7833      269.2799      64.5999      85.3888      -31.1834
-0.0820      204.8230      300.4170      95.5940      269.3256      64.5026      85.2302      -31.0914
-0.0820      204.9260      300.5182      95.5922      269.2526      64.3266      85.1703      -31.2656
-0.0830      205.0290      300.5183      95.4893      269.1910      64.1620      85.0469      -31.3273
-0.0840      205.1500      300.4169      95.2669      269.1044      63.9544      84.8294      -31.3125
-0.0840      205.2350      300.5184      95.2834      269.0931      63.8581      84.8083      -31.4253
-0.0850      205.3740      300.5178      95.1438      269.0815      63.7075      84.6650      -31.4363
-0.0860      205.4730      300.4073      94.9343      269.0003      63.5273      84.4653      -31.4070
-0.0860      205.5730      300.5091      94.9361      268.9464      63.3734      84.4152      -31.5627
-0.0870      205.6650      300.4724      94.8074      268.9685      63.3035      84.3061      -31.5039
-0.0870      205.8010      300.5184      94.7174      268.8392      63.0382      84.1577      -31.6792
-0.0880      205.9480      300.5368      94.5888      268.8780      62.9300      84.0359      -31.6588
-0.0890      205.9880      300.4720      94.4840      268.8446      62.8566      83.9415      -31.6274
-0.0890      206.1200      300.4717      94.3517      268.7683      62.6483      83.7839      -31.7034
-0.0900      206.2200      300.4817      94.2617      268.6763      62.4563      83.6599      -31.8054
-0.0910      206.3410      300.5916      94.2506      268.6335      62.2925      83.5979      -31.9581
-0.0910      206.4360      300.4809      94.0449      268.6609      62.2249      83.4382      -31.8200
-0.0920      206.5830      300.4992      93.9162      268.6456      62.0626      83.2983      -31.8536
-0.0930      206.7010      300.5087      93.8077      268.5855      61.8845      83.1666      -31.9232
-0.0930      206.7890      300.6096      93.8206      268.5667      61.7777      83.1396      -32.0429
-0.0940      206.8700      300.5270      93.6570      268.4909      61.6209      82.9783      -32.0361
-0.0950      207.0360      300.4174      93.3814      268.5119      61.4759      82.7462      -31.9055
-0.0950      207.1160      300.4900      93.3740      268.5093      61.3933      82.7138      -31.9807
-0.0960      207.2160      300.5000      93.2840      268.4641      61.2481      82.6054      -32.0359
-0.0970      207.3220      300.4627      93.1407      268.3340      61.0120      82.4311      -32.1287
-0.0970      207.4250      300.4995      93.0745      268.2827      60.8577      82.3356      -32.2168
-0.0980      207.5320      300.5183      92.9863      268.3002      60.7682      82.2469      -32.2181
-0.0990      207.6490      300.4534      92.8044      268.3170      60.6680      82.0923      -32.1364
-0.0990      207.7710      300.4357      92.6647      268.2677      60.4967      81.9420      -32.1680
-0.1000      207.8660      300.5086      92.6426      268.1964      60.3304      81.8719      -32.3122
-0.1010      207.9690      300.5179      92.5489      268.2337      60.2647      81.7875      -32.2842
-0.1020      208.1120      300.5360      92.4240      268.2762      60.1642      81.6707      -32.2598
-0.1020      208.2480      300.5084      92.2604      268.2100      59.9620      81.4943      -32.2984
-0.1030      208.3040      300.4634      92.1594      268.1338      59.8298      81.3829      -32.3296
-0.1040      208.4030      300.5090      92.1060      268.0435      59.6405      81.2842      -32.4655
-0.1040      208.5500      300.6192      92.0692      267.9578      59.4078      81.1821      -32.6614
-0.1050      208.6010      300.4627      91.8617      267.9805      59.3795      81.0343      -32.4822
